checklist_id,project_id,number,name,status_id,status,type_id,type_name,asset_name,asset_type,assigned_name,assigned_type,discipline_id,discipline,note,tools,date_created,asset_key,assigned_key,template_id,template_version,has_structurally_changed,time_to_close_seconds,extended_status,script_in_development_date,assigned_date,in_progress_date,installation_ready_(pre-energization)_date,de-energized_inspection_complete_(cxa)_date,contractor_complete_date,verified_date,removed_from_scope_date
21568345,47266,229,A000 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A000 (unidentified antenna Level 3 Area D),equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706304,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43\n2026-01-22 21:22:11', 'script_in_development_person': 'Warren Wiberg\nJaylin Freeman-Broadous', 'assigned_date': '2026-01-22 21:21:52\n2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous\nJaylin Freeman-Broadous', 'in_progress_date': '2026-01-22 21:21:59', 'in_progress_person': 'Jaylin Freeman-Broadous', 'installation_ready_(pre-energization)_date': '2026-01-22 21:22:02', 'installation_ready_(pre-energization)_person': 'Jaylin Freeman-Broadous', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}","2025-12-08 16:21:43
2026-01-22 21:22:11","2026-01-22 21:21:52
2026-02-12 21:07:31",2026-01-22 21:21:59,2026-01-22 21:22:02,,,,
21568346,47266,230,A001 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A001 (unidentified public safety antenna Level 3 Area D),equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706305,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568347,47266,231,A002 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A002,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706300,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568348,47266,232,A003 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A003,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706298,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568349,47266,233,A004 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A004,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706303,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568350,47266,234,A004 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A004,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706306,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568351,47266,235,A005 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A005,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706295,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568352,47266,236,A006 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A006,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706286,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568353,47266,237,A373 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A373,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706299,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
21568354,47266,238,A374 - Directional Antenna,186534,Assigned,242545,Pre-Functional,A374,equipment,Communications Contractor,role,552267,Div. 27 - Communications,,,12/08/2025,10706294,734464,1716324,22,0,n/a,"{'script_in_development_date': '2025-12-08 16:21:43', 'script_in_development_person': 'Warren Wiberg', 'assigned_date': '2026-02-12 21:07:31', 'assigned_person': 'Jaylin Freeman-Broadous', 'in_progress_date': '', 'in_progress_person': '', 'installation_ready_(pre-energization)_date': '', 'installation_ready_(pre-energization)_person': '', 'de-energized_inspection_complete_(cxa)_date': '', 'de-energized_inspection_complete_(cxa)_person': '', 'contractor_complete_date': '', 'contractor_complete_person': '', 'verified_date': '', 'verified_person': '', 'removed_from_scope_date': '', 'removed_from_scope_person': ''}",2025-12-08 16:21:43,2026-02-12 21:07:31,,,,,,
