equipment_id,project_id,name,status_id,status,description,type_id,type,discipline_id,discipline,space_id,space,floor_id,floor,building_id,building,campus_id,campus,notes,date_created,systems,zones,attributes
10706304,47266,A000 (unidentified antenna Level 3 Area D),287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818275,LEVEL 3 AREA D,76465,Level 3,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66025', 'project_id': '47266', 'name': 'Area D', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]","[{'name': 'Manufacturer - Installed', 'value': 'Cisco', 'unit': '', 'verified': '0', 'verified_comment': None, 'source_name': 'A000 (unidentified antenna Level 3 Area D)', 'source_type': 'equipment', 'source_id': '10706304', 'project_id': '47266', 'date_created': '01/22/2026', 'equipmentattribute_id': '43689533'}]"
10706305,47266,A001 (unidentified public safety antenna Level 3 Area D),287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818275,LEVEL 3 AREA D,76465,Level 3,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66025', 'project_id': '47266', 'name': 'Area D', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706300,47266,A002,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818274,LEVEL 3 AREA C,76465,Level 3,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66022', 'project_id': '47266', 'name': 'Area C', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706298,47266,A003,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818274,LEVEL 3 AREA C,76465,Level 3,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66022', 'project_id': '47266', 'name': 'Area C', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706303,47266,A004,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818275,LEVEL 3 AREA D,76465,Level 3,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66025', 'project_id': '47266', 'name': 'Area D', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706306,47266,A004,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818275,LEVEL 3 AREA D,76465,Level 3,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66025', 'project_id': '47266', 'name': 'Area D', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706295,47266,A005,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818273,LEVEL 2 AREA C,76464,Level 2,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66022', 'project_id': '47266', 'name': 'Area C', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706286,47266,A006,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818270,LEVEL 1 AREA C,76463,Level 1,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66022', 'project_id': '47266', 'name': 'Area C', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706299,47266,A373,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818274,LEVEL 3 AREA C,76465,Level 3,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66022', 'project_id': '47266', 'name': 'Area C', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706294,47266,A374,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818273,LEVEL 2 AREA C,76464,Level 2,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66022', 'project_id': '47266', 'name': 'Area C', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706296,47266,A375,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818273,LEVEL 2 AREA C,76464,Level 2,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66022', 'project_id': '47266', 'name': 'Area C', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706291,47266,A386,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818272,LEVEL 2 AREA B,76464,Level 2,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66024', 'project_id': '47266', 'name': 'Area B', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
10706289,47266,A388,287296,Designed,,722084,Directional Antenna,552267,Div. 27 - Communications,2818271,LEVEL 2 AREA A,76464,Level 2,,,,,,11/12/2025,"[{'system_id': '550119', 'project_id': '47266', 'name': 'DAS', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/12/2025'}]","[{'zone_id': '66023', 'project_id': '47266', 'name': 'Area A', 'description': None, 'building_id': None, 'building': None, 'campus_id': None, 'campus': None, 'date_created': '12/03/2025'}]",
